Blog	here	want	how	re	best	and	much	had	right	old	people	for	time	so	years	one	going	many	s	being	around	world	her	with	an	as	at	more	its	always	also	see	last	d	be	by	into	up	us	great	this	could	should	ve	site	work	after	then	them	they	just	do	we	com	has	the	post	way	was	can	not	now	year	that	than	online	only	these	read	t	your	you	very	a	off	some	go	need	she	i	well	home	he	even	new	don	m	is	it	in	if	make	down	did	may	thing	think	first	little	were	show	get	those	two	good	part	most	find	from	big	back	use	ll	day	have	like	about	but	every	would	to	me	my	over	free	days	too	news	been	who	no	when	today	any	week	on	of	or	there	all	what	might	story	his	are	something	our	out	their	which	why	will	other	know	because	own	made
Joho the Blog	0	0	0	1	0	5	0	2	0	1	3	5	2	2	5	4	0	0	16	0	0	2	0	6	2	3	5	0	3	0	1	3	1	0	3	0	0	1	2	1	6	0	1	1	0	0	0	0	1	3	1	1	5	0	1	46	10	0	0	3	1	0	1	14	1	0	0	0	0	5	1	2	0	21	1	3	0	0	2	10	1	0	0	1	1	0	2	5	5	12	0	1	0	1	1	0	1	11	0	0	0	0	0	0	0	0	1	0	4	0	0	2	1	0	9	4	0	6	0	0	9	2	4	1	0	0	2	1	2	1	1	3	1	0	0	13	19	1	1	3	1	2	0	0	1	0	1	1	3	1	2	4	2	2	2	0	0
ongoing by Tim Bray	2	0	2	8	0	26	2	0	0	0	0	9	0	3	1	2	0	1	13	0	0	0	0	9	3	1	1	5	2	2	0	0	0	0	4	2	0	1	3	0	7	0	1	3	0	3	0	2	1	4	2	2	3	4	1	25	1	2	2	0	2	2	0	9	2	0	0	1	2	5	2	4	2	29	0	4	2	1	0	24	0	0	1	4	3	2	5	12	17	22	0	0	0	0	0	5	1	0	0	1	0	4	0	1	2	0	4	2	5	4	1	2	0	3	4	2	4	5	1	0	14	3	9	1	0	2	1	0	1	0	1	0	0	4	0	9	19	4	5	2	3	2	1	0	5	1	4	2	0	2	0	3	0	1	1	0	0
Neil Gaiman's Journal	41	20	32	15	8	752	34	74	18	15	67	180	40	59	19	43	36	14	221	17	17	27	35	144	74	80	109	35	14	9	26	19	32	36	117	81	25	39	56	11	102	32	18	30	4	18	18	25	36	82	22	37	188	33	34	1037	10	15	170	53	65	30	44	229	16	7	26	13	28	79	21	205	27	440	13	38	22	14	50	429	13	6	77	19	73	9	56	150	396	328	50	24	5	24	12	20	17	36	10	59	10	36	5	23	38	16	10	13	96	7	31	11	23	24	75	60	102	80	9	42	497	98	70	25	9	21	20	8	43	53	16	65	4	13	19	178	401	93	58	63	58	7	27	45	86	22	30	77	33	44	16	62	26	14	34	8	20
Joel on Software	7	25	17	36	5	213	8	12	6	4	45	66	20	59	7	17	11	7	48	6	11	10	0	45	20	36	40	24	2	4	4	8	2	3	48	15	17	45	15	26	46	16	8	7	6	22	5	9	30	75	22	25	123	0	25	340	4	15	37	42	29	12	7	165	18	3	7	10	5	53	20	138	9	223	6	23	13	15	0	52	6	1	1	21	19	22	7	105	97	107	33	21	8	5	7	8	11	19	10	13	1	32	14	12	6	2	13	11	21	14	5	11	10	10	53	22	28	35	24	12	292	12	7	8	11	6	9	3	10	19	6	22	9	19	1	66	212	41	23	36	16	17	2	0	59	9	32	28	23	32	9	19	15	12	19	8	4
Steve Pavlina	1	1	6	3	1	29	0	1	0	1	24	32	1	7	2	2	0	3	7	0	0	0	1	8	6	5	4	4	2	0	1	0	0	6	5	3	0	3	0	2	10	1	0	2	6	3	0	1	0	4	1	1	3	18	2	65	20	1	2	4	0	0	0	8	3	4	1	2	1	5	17	18	0	23	0	3	2	0	0	26	1	1	0	1	8	0	6	17	11	12	14	3	0	0	5	0	1	23	0	2	0	0	0	1	1	27	0	1	3	0	0	1	2	0	8	3	3	2	1	1	43	1	8	0	6	0	2	0	5	0	0	1	0	1	1	32	17	7	1	2	4	0	0	0	1	1	3	2	2	2	0	3	2	2	0	3	0
The Full Feed from HuffingtonPost.com	0	0	0	2	0	16	0	4	0	0	0	5	1	2	1	2	0	0	17	0	1	0	0	0	1	5	3	24	2	0	1	1	0	5	0	1	1	0	0	0	4	4	0	1	0	0	2	0	0	2	1	1	1	0	1	48	2	0	6	3	2	1	1	4	2	0	0	0	10	5	0	5	2	17	1	1	0	0	1	1	0	0	2	2	1	2	1	6	5	28	3	0	1	0	0	1	0	6	0	7	0	1	1	0	2	0	3	0	3	0	3	0	0	0	6	3	2	4	0	1	20	0	0	0	0	0	0	2	3	4	0	0	0	2	0	19	15	2	0	1	4	0	0	5	2	0	0	0	1	0	0	1	1	1	0	0	4
Kotaku	5	1	2	1	5	19	1	1	0	0	0	6	2	2	1	2	1	0	32	1	1	2	0	10	3	5	6	30	2	1	0	1	2	0	3	3	1	4	8	2	2	1	0	4	0	0	1	0	3	1	3	0	4	2	8	43	0	0	4	9	1	4	0	8	0	2	1	2	24	3	0	17	2	32	1	5	0	2	0	8	4	1	3	2	7	0	1	10	9	16	4	2	1	0	1	1	0	4	0	0	0	0	2	0	3	1	2	0	7	0	1	0	1	2	5	1	3	6	1	1	32	2	1	3	0	2	2	0	5	1	3	0	2	3	1	4	30	4	0	5	2	0	1	0	5	0	5	2	2	1	2	1	0	2	0	1	0
Derek Powazek	6	1	7	7	1	70	1	3	4	2	2	33	4	7	5	13	4	1	43	0	1	3	9	17	5	10	7	6	1	4	2	3	7	2	7	5	4	11	4	5	9	1	1	11	2	3	4	7	2	6	11	7	7	1	5	97	3	0	13	8	6	10	4	19	2	2	1	2	0	10	6	19	1	62	1	3	4	1	7	69	2	0	5	1	5	4	12	17	39	35	9	1	2	4	0	4	4	3	7	2	3	6	1	9	1	2	2	1	5	1	2	0	4	2	3	9	9	14	3	0	52	15	22	5	0	4	2	1	8	1	2	11	2	0	3	14	39	5	7	10	9	1	3	3	11	8	3	9	4	2	1	5	3	6	3	2	2
Captain's Quarters	0	0	1	0	1	12	0	3	0	0	0	8	1	0	2	2	0	0	4	0	0	1	1	4	1	4	5	3	3	0	2	0	0	0	4	4	2	1	3	0	1	0	2	0	1	1	3	0	0	2	0	0	1	0	7	50	1	0	1	1	3	0	0	9	2	0	1	0	0	1	0	2	0	20	1	1	0	0	1	3	1	0	6	1	0	0	0	0	2	14	1	0	2	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	1	2	1	0	2	2	0	3	1	0	1	22	2	2	1	0	0	1	1	2	1	1	2	2	0	1	14	20	0	0	0	0	0	4	6	0	0	0	4	6	0	0	5	2	0	0	0	0
blog maverick	1	1	2	0	1	15	0	0	2	0	2	3	6	0	0	3	0	0	1	1	0	0	0	2	1	1	1	2	0	0	0	0	0	0	2	4	1	0	4	0	5	0	1	0	1	0	0	0	3	3	2	4	8	3	1	46	0	0	2	2	1	1	3	10	4	0	0	0	0	3	1	5	1	17	0	1	3	1	0	10	1	0	2	1	0	3	0	8	7	12	2	0	0	0	0	0	0	1	0	4	0	1	1	0	0	2	1	4	4	0	1	1	0	1	7	1	3	0	1	4	21	1	4	2	0	1	0	2	3	1	1	1	0	0	2	9	21	3	3	2	2	0	0	0	3	1	3	3	0	1	2	1	1	1	0	0	0
Topix Blog	0	1	5	0	2	20	0	1	0	0	3	3	1	0	0	2	0	1	4	0	2	0	0	9	6	5	4	2	1	2	0	1	0	0	3	1	0	3	3	0	2	0	0	1	2	0	0	0	1	3	4	1	5	0	4	38	1	0	4	1	1	2	3	4	0	4	0	0	0	0	3	2	1	16	0	1	0	0	0	2	1	0	2	0	1	0	0	5	4	19	0	3	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	6	1	0	0	1	0	1	0	5	1	0	1	29	1	0	1	0	0	0	5	1	0	0	2	1	0	1	8	17	1	0	2	2	1	0	1	10	1	6	2	3	0	1	0	1	0	0	1	0
Autoblog	10	9	10	3	3	17	0	1	0	2	0	73	8	2	3	5	0	0	46	1	0	5	0	12	9	5	16	5	3	0	0	46	0	0	3	1	5	10	5	2	53	0	0	1	0	0	0	0	0	4	4	0	14	0	5	97	0	1	4	0	1	1	1	7	5	0	0	9	1	2	8	9	3	54	3	8	0	3	0	0	0	0	0	4	9	1	3	22	14	48	0	1	0	1	41	0	3	6	3	0	0	3	3	0	3	0	6	0	5	2	4	39	0	8	4	4	5	5	0	0	49	0	0	2	0	0	3	1	0	1	2	1	0	1	1	89	77	2	2	7	11	0	0	1	10	0	42	4	1	1	7	7	0	1	0	0	1
Gawker	2	0	1	0	4	19	2	0	2	3	2	8	3	2	1	7	0	3	14	1	1	0	3	6	5	7	16	28	5	1	4	0	0	0	6	3	2	5	3	2	9	1	1	1	0	1	7	0	6	2	4	0	5	3	5	48	0	2	2	3	2	1	4	12	2	0	0	0	26	6	1	3	0	26	2	0	1	0	2	1	1	0	1	0	2	3	0	8	3	22	1	2	0	0	1	0	0	2	0	4	2	0	0	1	1	0	0	1	5	0	3	2	0	4	5	3	2	6	0	1	29	0	0	2	0	1	0	0	2	1	4	2	4	1	4	19	26	1	3	2	2	2	2	4	6	0	5	1	5	2	0	4	0	0	2	1	1
Google Blogoscoped	2	2	5	5	4	40	4	3	1	0	3	16	4	7	1	13	2	0	15	0	2	1	0	6	5	12	7	4	1	2	2	4	0	2	4	4	3	3	1	0	7	1	0	4	4	1	0	3	4	7	6	3	12	0	1	71	2	1	6	10	5	4	0	13	1	1	2	1	2	11	8	36	1	43	0	3	1	2	0	18	2	1	2	4	8	4	2	10	14	23	8	3	1	1	1	1	0	2	0	1	1	5	3	3	0	0	3	3	7	0	3	3	6	3	5	6	9	10	1	11	36	4	7	1	2	0	2	1	4	5	6	4	1	3	0	17	34	7	5	5	6	0	0	1	6	2	3	2	4	5	0	1	4	2	5	0	2
Deadspin	0	1	0	1	3	20	2	3	0	1	0	12	2	2	2	7	0	0	18	2	1	0	0	7	2	6	5	27	3	0	2	2	4	0	2	5	0	6	8	0	3	0	3	1	0	0	6	1	3	4	2	1	8	2	4	78	0	0	1	4	3	2	3	8	4	0	0	1	25	5	3	13	0	35	5	3	2	0	0	2	0	0	2	4	1	2	0	13	10	23	2	1	0	1	0	0	4	2	0	0	1	3	0	0	1	1	0	0	7	0	2	3	1	3	4	5	2	3	1	0	33	0	2	2	2	1	0	0	1	1	2	3	3	1	2	17	35	6	2	3	3	1	0	8	3	3	9	5	2	1	1	4	2	4	1	1	1
TMZ.com	0	1	0	0	2	11	0	3	0	0	0	11	1	1	0	5	1	0	17	2	0	0	12	8	3	5	5	1	0	0	1	0	2	0	2	4	0	4	4	1	3	3	0	0	0	0	2	0	0	3	4	0	6	0	4	41	1	2	13	1	2	2	1	7	1	0	1	0	0	9	0	3	0	25	1	2	0	0	12	6	0	3	3	0	3	1	3	10	8	20	1	0	2	1	0	0	0	0	0	1	2	1	0	0	1	0	1	0	2	0	0	0	1	0	2	2	4	4	0	0	26	1	5	4	0	0	1	0	0	2	7	5	0	0	2	10	10	0	2	2	2	0	2	5	0	0	1	2	3	1	1	6	0	1	1	0	3
kottke.org	11	3	18	6	7	147	11	5	5	2	14	43	13	14	11	17	6	9	80	8	4	12	5	37	23	26	23	26	5	0	18	12	6	8	23	26	9	12	4	1	35	2	3	1	1	5	4	8	14	19	8	8	1	3	9	329	1	7	26	17	15	4	5	60	14	3	8	11	8	14	8	34	3	134	5	8	5	4	1	50	10	2	17	5	5	5	4	66	49	104	17	3	5	5	2	2	7	7	2	8	2	7	3	6	2	2	13	3	19	2	4	6	7	6	19	19	27	26	3	4	103	5	11	2	0	5	5	0	5	10	4	14	2	7	3	46	147	17	21	12	15	3	0	16	28	5	1	10	17	16	2	7	7	4	4	3	11
O'Reilly Radar	0	0	0	3	0	6	0	1	1	0	1	3	0	0	0	0	0	2	7	0	1	0	0	2	3	1	2	0	0	0	0	0	0	1	0	1	1	1	0	0	3	2	0	0	0	0	2	1	0	1	0	1	2	3	4	22	0	1	0	1	0	2	0	10	0	0	1	1	0	0	0	3	0	8	0	0	1	0	1	0	0	0	0	0	3	0	0	10	7	4	1	0	0	0	7	1	0	0	0	1	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	1	0	1	1	0	13	2	1	0	1	0	0	0	0	1	3	0	0	0	0	2	10	1	1	6	1	0	2	0	2	0	0	0	2	0	0	1	0	0	1	1	0
Lifehack	2	1	19	7	0	11	0	0	2	0	4	6	3	1	0	1	0	0	5	0	0	0	1	6	4	1	1	0	0	2	1	1	1	0	7	0	2	2	0	0	3	0	5	0	0	0	0	0	0	0	2	3	4	0	2	42	20	1	0	3	0	2	0	6	0	5	3	3	0	3	28	39	0	14	1	0	0	2	0	2	0	0	0	0	0	2	0	3	22	9	5	0	0	2	0	2	2	22	0	0	0	5	2	0	0	0	1	0	1	1	1	3	1	0	4	3	2	3	1	1	39	0	0	0	0	1	1	0	0	3	0	4	0	1	0	23	12	3	2	2	1	2	0	0	4	1	0	3	2	1	2	1	1	0	0	3	1
Lifehacker	3	3	2	2	3	33	3	1	2	1	0	20	4	1	0	2	1	1	19	2	2	0	0	13	7	5	3	32	0	1	1	1	0	0	3	4	3	3	0	1	7	0	1	3	0	3	1	0	5	5	2	2	3	0	1	45	0	3	2	5	3	2	1	15	6	0	1	5	25	6	25	34	1	46	2	6	1	2	0	8	1	2	0	4	3	4	1	18	16	15	6	3	1	0	1	0	2	2	3	1	0	6	1	0	0	0	1	1	7	3	1	5	0	7	8	5	0	11	1	0	49	0	0	3	4	0	0	0	1	0	2	6	1	2	3	8	35	8	5	7	1	2	0	0	5	0	1	8	3	1	2	2	2	2	0	0	4
Valleywag	4	1	3	3	0	35	3	1	1	0	6	13	1	6	1	5	2	0	31	1	2	1	7	3	3	3	14	29	9	0	3	0	4	2	9	11	3	5	0	0	9	2	0	2	5	4	5	1	4	1	3	2	2	7	4	65	2	2	9	3	3	2	2	17	2	0	3	0	25	4	4	13	2	46	3	1	1	0	1	1	1	2	5	1	6	0	0	15	14	26	9	2	2	4	5	2	0	1	0	3	2	2	1	0	0	0	0	1	7	0	1	1	0	3	3	5	5	8	3	3	40	0	0	9	0	0	0	5	6	4	6	1	2	0	1	9	32	4	1	4	2	1	1	3	6	2	1	3	7	3	1	5	0	0	1	0	1
Boing Boing	1	6	8	3	0	97	4	1	2	2	4	39	3	7	1	12	2	4	39	1	5	7	1	18	8	25	20	21	7	3	7	4	3	2	10	22	4	11	7	4	27	1	4	3	0	3	6	2	9	5	9	4	6	3	10	178	1	2	7	10	7	6	3	26	1	1	8	4	4	6	14	46	2	100	1	8	2	0	2	22	3	2	11	3	6	2	6	30	30	54	12	3	5	0	1	0	1	0	0	2	6	11	3	2	4	0	13	2	16	5	1	1	11	2	7	6	4	12	2	1	91	3	14	6	3	0	2	2	4	6	3	9	0	9	5	30	99	20	6	10	2	3	2	12	19	2	4	10	9	4	1	7	6	0	2	3	6
WIRED	0	0	4	1	0	8	0	1	0	0	1	5	0	0	0	0	0	1	2	0	2	3	0	2	4	0	1	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	4	39	10	0	0	0	1	0	0	1	0	2	1	2	0	0	3	2	0	12	0	0	0	0	0	0	0	0	0	0	3	0	0	3	2	4	0	2	0	0	1	0	1	10	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	2	0	2	0	0	9	0	0	0	2	0	0	0	2	0	0	0	0	0	1	13	11	3	0	1	0	1	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0
Oilman	0	1	3	2	0	17	3	2	0	1	4	3	1	4	1	2	0	2	8	1	1	0	0	0	0	3	2	2	0	0	1	3	1	0	2	5	1	4	0	0	3	1	0	2	2	1	0	0	0	1	2	0	5	1	2	21	2	1	1	1	2	3	1	6	0	2	1	0	0	3	0	4	0	13	1	3	0	2	0	24	2	0	0	1	3	1	1	6	17	9	1	0	1	1	0	0	1	0	0	1	1	1	0	0	2	1	1	0	2	1	1	1	0	0	4	2	3	2	1	2	15	5	6	1	0	2	4	1	2	0	1	1	2	1	1	5	9	2	0	1	3	2	1	0	1	0	1	1	1	0	3	0	0	2	0	1	0
Guy Kawasaki	1	1	10	1	0	19	0	0	0	0	2	8	1	3	0	0	0	1	11	0	0	0	0	3	2	1	3	1	0	0	2	1	0	1	1	2	1	1	0	0	4	0	0	0	0	1	0	0	1	4	0	6	0	0	1	38	12	0	1	0	2	0	0	6	2	2	2	1	0	3	3	6	0	29	0	0	0	0	0	8	0	0	1	0	0	0	4	7	8	9	3	0	0	0	2	0	0	10	0	3	0	0	0	3	1	0	2	0	3	0	0	1	0	3	2	3	2	1	0	0	26	1	3	0	0	2	2	0	0	2	0	2	0	1	0	12	14	3	6	2	0	0	0	0	8	0	0	0	3	0	4	1	1	0	3	1	0
Seth Godin's Blog on marketing, tribes and respect	0	4	0	2	0	13	1	0	0	0	4	2	2	0	0	4	2	1	8	1	0	0	0	3	1	6	1	6	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0	1	0	0	2	1	0	3	5	0	0	28	0	3	0	2	0	0	0	7	4	0	4	1	0	3	8	8	0	11	2	1	1	1	0	0	2	0	0	1	5	1	0	9	11	3	1	2	0	0	0	0	0	2	0	0	0	1	0	0	2	0	2	0	1	0	0	1	0	0	1	0	2	1	1	0	21	0	0	0	0	0	1	0	0	1	1	2	1	0	0	2	7	5	4	0	4	0	0	0	3	3	0	1	0	0	1	1	0	1	1	0	0
